"","OBJECTID","name","adress","okrug","rayon","form_of_incorporation","submission","tip_uchrezhdeniya","vid_uchrezhdeniya","telephone","web_site","e_mail","ID","ORIG_FID","POINT_X","POINT_Y","r500","r800","r1000"
"882",882,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 382","107564, г.Москва, улица  Андреево-Забелинская, дом 28","Восточный административный округ","район Богородское","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","160-06-44","schv382.mskobr.ru","detsad66@yandex.ru",611,611,37.724368,55.814192,263.821008629837,320.233354887295,346.768762767627
"883",883,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 386","107370,  Москва, ул. Бойцовая, д. 6, кор. 8А","Восточный административный округ","район Богородское","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(499) 160-86-26; (499) 169-34-00; (499) 169-34-19; (499) 160-02-10; (499) 169-32-56","schv386.mskobr.ru","vostok386@mail.ru",612,612,37.720354,55.809501,240.382399722838,267.035044696971,308.370109050848
"884",884,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 389","121351, г.Москва, ул. Партизанская, д. 39","Западный административный округ","район Кунцево","Государственное","Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(499) 141-45-19; (499) 141-65-62","sch389.mskzapad.ru","sch389@gmail.com",613,613,37.404436,55.738482,252.785345158834,355.511514682858,378.764579326096
"885",885,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 391","121471  г.Москва,ул. Гжатская, д. 6","Западный административный округ","Можайский район","Государственное","Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(495) 440-13-24","sch391.mskzapad.ru","ms391@narod.ru",614,614,37.440425,55.715802,360.945778244646,440.893441718743,494.556000932016
"886",886,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 392","107392, г. Москва, ул. Знаменская, д. 6","Восточный административный округ","район Преображенское","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(495) 963-92-39; (495) 963-92-46; (495) 963-87-72; (495) 963-87-50; (495) 963-90-88; (495) 963-91-89","sch392.mskobr.ru","sch392@yandex.ru",615,615,37.716885,55.801866,255.289727494621,337.186518036417,350.370937584211
"887",887,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 393","109386, г. Москва, ул Краснодарская, д. 45/11; г. Москва, ул. Ставропольская, д. 30, к. 2","Юго-Восточный административный округ","район Люблино","Государственное","Юго-Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","358-80-46","schuv393.mskobr.ru","Director393@mail.ru",616,616,37.760614,55.67741,190.739413546164,265.437711150007,288.38712024277
"888",888,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 396","109544  г.Москва, Новорогожская ул., д.18,стр.1","Центральный административный округ","Таганский район","Государственное","Центральное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(495) 678-84-65","schc396.mskobr.ru/","396sch@mail.ru",617,617,37.685878,55.739746,195.324170405934,279.312026249185,312.05294299902
"889",889,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 4","117218, г.Москва, ул.Профсоюзная, д. 9А","Юго-Западный административный округ","Академический район","Государственное","Юго-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(499) 125-37-94","http://schuz4/mskobr/ru.","moschool4@yandex.ru",618,618,37.570968,55.682217,248.803887974968,277.372088125362,365.45911781698
"890",890,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 400","111531, г. Москва, шоссе Энтузиастов, дом  100 А","Восточный административный округ","район Ивановское","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","307-40-20","sch400.mskobr.ru","sch400@mail.ru",619,619,37.835535,55.773183,287.594209745224,356.920379836774,371.712230004372
"891",891,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 403","105264, г. Москва, Сиреневый б-р, д. 20","Восточный административный округ","район Измайлово","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","164-67-01","schv403.mskobr.ru","school403@mail.ru",620,620,37.790635,55.801758,250.12939952238,299.023427624181,345.188540119154
"892",892,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 405","111555, г. Москва, ул. Сталеваров, дом 16 А","Восточный административный округ","район Ивановское","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(495) 302-25-46","sch405.mskobr.ru","bbc831@rambler.ru",621,621,37.837974,55.757056,188.122247102996,307.552284519698,356.863381040607
"893",893,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 406","111399, Москва, Зеленый проспект, дом 59","Восточный административный округ","район Перово","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","301-35-49","schv406.mskobr.ru","school-406@mail.ru",622,622,37.804404,55.75399,193.993619752854,265.992648993799,284.985736277534
"894",894,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 406","111399, Москва, Зеленый проспект, дом 59","Восточный административный округ","район Перово","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","301-35-49","schv406.mskobr.ru","school-406@mail.ru",622,622,37.805016,55.754064,202.98392347395,251.472893489294,275.367424908986
"895",895,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 407","111395, г. Москва, ул. Снайперская,  д. 4 А","Восточный административный округ","район Вешняки","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","374-24-07","http://schv407.mskobr.ru","shkola407@mail.ru",623,623,37.811632,55.724008,225.742524907385,287.54092313101,337.295652808661
"896",896,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 409","111396, г. Москва, ул. Фрязевская , д. 5","Восточный административный округ","район Новогиреево","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(495) 302-05-68; (495) 302-30-09","schv409.mskobr.ru","sch409@yandex.ru",624,624,37.819334,55.746367,210.270143085454,280.040253204898,330.98030310287
"897",897,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 41","119027 г.Москва, ул Большая Внуковская, д. 4","Западный административный округ","район Внуково","Государственное","Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","436-24-50","ds2569.mskzapad.ru","shk4155@yandex.ru",625,625,37.214527,55.621377,8169.34474530817,8271.29789252118,8306.20763999228
"898",898,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 41","119027 г.Москва, ул Большая Внуковская, д. 4","Западный административный округ","район Внуково","Государственное","Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","436-24-50","ds2569.mskzapad.ru","shk4155@yandex.ru",625,625,37.294653,55.614268,4088.2877913837,4137.86361357346,4138.2348092534
"899",899,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 41","119027 г.Москва, ул Большая Внуковская, д. 4","Западный административный округ","район Внуково","Государственное","Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","436-24-50","ds2569.mskzapad.ru","shk4155@yandex.ru",625,625,37.298891,55.616116,3751.24461972545,3800.75771420372,3809.72897050626
"900",900,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 41","119027 г.Москва, ул Большая Внуковская, д. 4","Западный административный округ","район Внуково","Государственное","Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","436-24-50","ds2569.mskzapad.ru","shk4155@yandex.ru",625,625,37.299363,55.608456,4335.62502537577,4391.91138401081,4466.38283376397
"901",901,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 411","111558, г. Москва, ул. Сталеваров, д. 20 А","Восточный административный округ","район Ивановское","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","303-23-89","schv411.mskobr.ru","tim411@rambler.ru",626,626,37.837933,55.755381,229.791597200346,306.3640139474,333.895784442929
"902",902,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 415","""111033, г. Москва, Танковый проезд, д. 3 """"А""""""","Юго-Восточный административный округ","район Лефортово","Государственное","Юго-Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","362-32-25","schuv415.mskobr.ru","sch415@uvuo.ru",627,627,37.689768,55.757425,384.552409776922,454.214544345201,506.045616727323
"903",903,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 415","""111033, г. Москва, Танковый проезд, д. 3 """"А""""""","Юго-Восточный административный округ","район Лефортово","Государственное","Юго-Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","362-32-25","schuv415.mskobr.ru","sch415@uvuo.ru",627,627,37.690263,55.75759,354.242776958344,440.626323554009,477.357011297988
"904",904,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 416","111024, г. Москва, ул, Шепелюгинская дом 21 строение 1,2","Юго-Восточный административный округ","район Лефортово","Государственное","Юго-Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(495) 361-30-34; (495) 362-18-30","schuv416.mskobr.ru","school416@inbox.ru",628,628,37.70335,55.744886,390.895898569633,810.302044417668,853.025704863451
"905",905,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 416","111024, г. Москва, ул, Шепелюгинская дом 21 строение 1,2","Юго-Восточный административный округ","район Лефортово","Государственное","Юго-Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(495) 361-30-34; (495) 362-18-30","schuv416.mskobr.ru","school416@inbox.ru",628,628,37.703582,55.745245,350.511190463144,812.721732750466,859.007689042075
"906",906,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 417","111250, г.Москва Красноказарменная ул., д. 11","Юго-Восточный административный округ","район Лефортово","Государственное","Юго-Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","361-14-72","schuv417.mskobr.ru","school417@mail.ru",629,629,37.701022,55.757412,221.586469704248,401.149088367681,463.383088198096
"907",907,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 419","105264, г. Москва, улица  Верхняя Первомайская, д.47А","Восточный административный округ","район Измайлово","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(495) 965-46-28; (495) 965-46-01","schv419.mskobr.ru","s419@list.ru",630,630,37.796319,55.799659,230.759142781738,288.293813842738,312.622051790532
"908",908,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 420","115551 г.Москва, Шипиловская ул.д.18. к.2","Южный административный округ","район Орехово-Борисово Северное","Государственное","Южное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","392-26-00","schu420.mskobr.ru","sch420@sinergi.ru",631,631,37.707711,55.617216,227.001771383448,288.136791856301,312.063924793572
"909",909,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 423","111399, г.Москва, Федеративный проспект,  д. 1 А","Восточный административный округ","район Перово","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","304-01-09","schv423.mskobr.ru","gou_sosh423@mail.ru",632,632,37.796984,55.758628,250.471014078119,327.095251728621,370.507021180954
"910",910,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 423","111399, г.Москва, Федеративный проспект,  д. 1 А","Восточный административный округ","район Перово","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","304-01-09","schv423.mskobr.ru","gou_sosh423@mail.ru",632,632,37.801837,55.757061,232.647459745707,286.72717910926,301.574821060544
"911",911,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 424","111020 г. Москва ул. Авиамоторная д.1","Юго-Восточный административный округ","район Лефортово","Государственное","Юго-Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","361-20-60","schuv424.mskobr.ru","shkola424@mail.ru",633,633,37.708009,55.763568,313.545868759253,354.302077205169,375.458663894451
"912",912,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 424","111020 г. Москва ул. Авиамоторная д.1","Юго-Восточный административный округ","район Лефортово","Государственное","Юго-Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","361-20-60","schuv424.mskobr.ru","shkola424@mail.ru",633,633,37.711138,55.762643,254.194280206363,346.679382113875,377.868753996955
"913",913,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 425","125475, г. Москва, ул. Клинская, д.24","Северный административный округ","район Ховрино","Государственное","Северное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","451-20-71","schs425.mskobr.ru/","school-425@yandex.ru",634,634,37.490009,55.871915,265.905086877231,318.696163095955,360.890484306949
"914",914,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 426","115563 г. Москва, Борисовский пр-д, д.10, к.2","Южный административный округ","район Орехово-Борисово Северное","Государственное","Южное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(495) 394-02-22","schu426.mskobr.ru","sch426@sinergi.ru",635,635,37.719905,55.624709,223.796776120406,267.70205091349,342.098044892368
"915",915,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 426","115563 г. Москва, Борисовский пр-д, д.10, к.2","Южный административный округ","район Орехово-Борисово Северное","Государственное","Южное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(495) 394-02-22","schu426.mskobr.ru","sch426@sinergi.ru",635,635,37.720084,55.623262,250.271544920097,306.547603810564,362.324526880845
"916",916,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 426","115563 г. Москва, Борисовский пр-д, д.10, к.2","Южный административный округ","район Орехово-Борисово Северное","Государственное","Южное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(495) 394-02-22","schu426.mskobr.ru","sch426@sinergi.ru",635,635,37.720787,55.621985,222.318318583517,321.114903069483,364.07827347468
"917",917,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 426","115563 г. Москва, Борисовский пр-д, д.10, к.2","Южный административный округ","район Орехово-Борисово Северное","Государственное","Южное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(495) 394-02-22","schu426.mskobr.ru","sch426@sinergi.ru",635,635,37.724106,55.625213,243.919442705801,306.437534689421,330.015540160323
"918",918,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 428","107241, г.Москва, ул. Амурская, д. 60","Восточный административный округ","район Гольяново","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(495) 462-03-75","schv428.mskobr.ru","school428@mail.ru",636,636,37.789415,55.812344,272.320082373841,318.412607919238,368.842853291451
"919",919,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 430","111674, г. Москва, ул.1-я Вольская, д. 9, к.3","Юго-Восточный административный округ","район Некрасовка","Государственное","Юго-Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","706-90-97","sch430uv.mskobr.ru","school430@mail.ru",637,637,37.920799,55.684601,261.0286138125,301.799356704855,351.200693864166
"920",920,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 433 имени Героя Советского Союза И.И.Якушкина","105118, г.Москва, Соколиной горы 5-я ул., д. 5","Восточный административный округ","район Соколиная Гора","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(495) 365-18-55; (495) 365-17-66; (495) 365-34-06; (495) 365-20-12","schv433.mskobr.ru","school433@mail.ru",638,638,37.731902,55.762914,232.068718597697,319.118203059527,424.455191215041
"921",921,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 435","105094 г.Москва, ул.Госпитальный вал, д.5, стр 19, 19А","Центральный административный округ","Басманный район","Государственное","Центральное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","787-03-41","sch435c.mskobr.ru","school.435@gmail.com",639,639,37.705013,55.774441,197.485732402176,267.160436374276,296.332954004423
"922",922,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 435","105094 г.Москва, ул.Госпитальный вал, д.5, стр 19, 19А","Центральный административный округ","Басманный район","Государственное","Центральное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","787-03-41","sch435c.mskobr.ru","school.435@gmail.com",639,639,37.707105,55.773792,162.86509105289,216.614895554418,254.965990410649
"923",923,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 435","105094 г.Москва, ул.Госпитальный вал, д.5, стр 19, 19А","Центральный административный округ","Басманный район","Государственное","Центральное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","787-03-41","sch435c.mskobr.ru","school.435@gmail.com",639,639,37.707141,55.773486,181.196881530384,210.456909902147,270.971902403814
"924",924,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 436","109444, г. Москва, ул. Ферганская, д. 7","Юго-Восточный административный округ","район Выхино-Жулебино","Государственное","Юго-Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","371-78-61","schuv436.mskobr.ru","school436@mail.ru",640,640,37.805194,55.711579,262.697462103274,295.086614170932,333.390024405397
"925",925,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 436","109444, г. Москва, ул. Ферганская, д. 7","Юго-Восточный административный округ","район Выхино-Жулебино","Государственное","Юго-Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","371-78-61","schuv436.mskobr.ru","school436@mail.ru",640,640,37.806399,55.713015,193.627165717537,266.419407424143,317.578520067408
"926",926,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 438","115563 г. Москва, Борисовский пр-д д. 40,к.3","Южный административный округ","район Орехово-Борисово Северное","Государственное","Южное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","394-03-55","schu438.mskobr.ru","sch438@sinergi.ru",641,641,37.722983,55.61731,285.095903259401,318.169868586061,376.559874669317
"927",927,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 438","115563 г. Москва, Борисовский пр-д д. 40,к.3","Южный административный округ","район Орехово-Борисово Северное","Государственное","Южное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","394-03-55","schu438.mskobr.ru","sch438@sinergi.ru",641,641,37.724193,55.618834,272.381521043133,316.956041259121,374.751912954817
"928",928,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 438","115563 г. Москва, Борисовский пр-д д. 40,к.3","Южный административный округ","район Орехово-Борисово Северное","Государственное","Южное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","394-03-55","schu438.mskobr.ru","sch438@sinergi.ru",641,641,37.72423,55.616436,240.906394821083,347.424575618664,397.683925883482
"929",929,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 438","115563 г. Москва, Борисовский пр-д д. 40,к.3","Южный административный округ","район Орехово-Борисово Северное","Государственное","Южное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","394-03-55","schu438.mskobr.ru","sch438@sinergi.ru",641,641,37.72563,55.61775,302.172951548665,338.692790103572,370.721845096588
"930",930,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 439","109202, г. Москва, ул. Басовская, д. 7","Юго-Восточный административный округ","Нижегородский район","Государственное","Юго-Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(499) 171-03-60; (499) 170-09-92","schuv439.mskobr.ru","school439@yandex.ru",642,642,37.740799,55.739074,623.498612814815,718.473534057051,782.097108425885
"931",931,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 439","109202, г. Москва, ул. Басовская, д. 7","Юго-Восточный административный округ","Нижегородский район","Государственное","Юго-Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(499) 171-03-60; (499) 170-09-92","schuv439.mskobr.ru","school439@yandex.ru",642,642,37.743384,55.733667,317.068953788241,434.586834812693,477.55194792248
"932",932,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 439","109202, г. Москва, ул. Басовская, д. 7","Юго-Восточный административный округ","Нижегородский район","Государственное","Юго-Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(499) 171-03-60; (499) 170-09-92","schuv439.mskobr.ru","school439@yandex.ru",642,642,37.745399,55.731239,291.345972346226,411.622638647581,440.2848432485
"933",933,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 439","109202, г. Москва, ул. Басовская, д. 7","Юго-Восточный административный округ","Нижегородский район","Государственное","Юго-Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(499) 171-03-60; (499) 170-09-92","schuv439.mskobr.ru","school439@yandex.ru",642,642,37.745896,55.735068,223.389968532625,367.497753318185,447.138041682984
"934",934,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 443","111123, г.Москва, Шоссе Энтузиастов, д.72","Восточный административный округ","район Перово","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(495) 672-26-31","ds1207.mskobr.ru","detsad1207@mail.ru",643,643,37.781413,55.763347,282.2796947014,314.824276509667,396.775808630953
"935",935,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 443","111123, г.Москва, Шоссе Энтузиастов, д.72","Восточный административный округ","район Перово","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(495) 672-26-31","ds1207.mskobr.ru","detsad1207@mail.ru",643,643,37.783195,55.763822,278.644295616378,350.163003316277,415.585478638045
"936",936,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 445","105037, г.Москва, Первомайская ул., д.27 А","Восточный административный округ","район Измайлово","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","163-06-97","sch445.mskobr.ru","sc445voumdo@mail.ru",644,644,37.781189,55.793549,201.015880175424,282.23416219822,323.193754938086
"937",937,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 448","105173, г. Москва, пос. Акулово, д. 43А","Восточный административный округ","район Восточный","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","460-98-05","schv448.mskobr.ru","ssch448@yandex.ru",645,645,37.792456,56.003395,14198.6208509245,14230.8851960286,14234.0405852132
"938",938,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 448","105173, г. Москва, пос. Акулово, д. 43А","Восточный административный округ","район Восточный","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","460-98-05","schv448.mskobr.ru","ssch448@yandex.ru",645,645,37.793463,56.003488,14265.5677189952,14265.9107366183,14269.4068208613
"939",939,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 45","119048 г.Москва, ул.Усачева, д.66","Центральный административный округ","район Хамовники","Государственное","Центральное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(499) 246-87-09","schc45.mskobr.ru","School_45@mail.ru",646,646,37.560259,55.723941,325.313250669216,447.620797434614,493.303399773348
"940",940,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 450","111401, г.Москва, Владимирская 3-я ул.  Дом-30А","Восточный административный округ","район Перово","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(495) 306-69-67","http//:schv450.mskobr.ru","sch450@yandex.ru",647,647,37.786589,55.754023,270.914607724375,349.784220783416,395.905316631008
