"OBJECTID";"name";"adress";"okrug";"rayon";"form_of_incorporation";"submission";"tip_uchrezhdeniya";"vid_uchrezhdeniya";"telephone";"web_site";"e_mail";"ID";"ORIG_FID";"POINT_X";"POINT_Y"
1184;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 775";"109382, г.Москва Армавирская ул., д. 4";"Юго-Восточный административный округ";"район Люблино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 358-93-65; (495) 358-94-92; (495) 358-93-92; (495) 358-93-74; (495) 359-33-07";"couv775.mskobr.ru/";"sch775@uvuo.ru";811;812;37,753360;55,675349
1185;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 776";"109377, г. Москва, 1-я Новокузьминская ул., д.21";"Юго-Восточный административный округ";"Рязанский район";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"378-24-47";"schuv776.mskobr.ru/";"shkola776@yandex.ru";812;813;37,792803;55,709199
1186;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 776";"109377, г. Москва, 1-я Новокузьминская ул., д.21";"Юго-Восточный административный округ";"Рязанский район";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"378-24-47";"schuv776.mskobr.ru/";"shkola776@yandex.ru";812;813;37,792928;55,715435
1187;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 777";"109428, г. Москва, ул. Маевок, дом 4";"Юго-Восточный административный округ";"Рязанский район";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 171-96-10";"hhtp://schuv777.mskobr.ru";"school777@inbox.ru";813;814;37,765290;55,730175
1188;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 777";"109428, г. Москва, ул. Маевок, дом 4";"Юго-Восточный административный округ";"Рязанский район";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 171-96-10";"hhtp://schuv777.mskobr.ru";"school777@inbox.ru";813;814;37,768727;55,725269
1189;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 777";"109428, г. Москва, ул. Маевок, дом 4";"Юго-Восточный административный округ";"Рязанский район";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 171-96-10";"hhtp://schuv777.mskobr.ru";"school777@inbox.ru";813;814;37,770059;55,728611
1190;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 778";"109439, г. Москва, ул. Академика Скрябина, д. 36, корп. 3";"Юго-Восточный административный округ";"район Кузьминки";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 379-27-35";"http://schuv778.mskobr.ru";"ecoschool778@yandex.ru";814;815;37,787241;55,700252
1191;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 779";"117335, г.Москва, ул. Вавилова, д. 91";"Юго-Западный административный округ";"Ломоносовский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"134-80-21";"";"";815;816;37,543394;55,677016
1192;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 780";"117588, г.Москва, Литовский бульвар, дом 42, корпус 2";"Юго-Западный административный округ";"район Ясенево";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"426-85-01";"schuz780.mskobr.ru";"sch780@mosuzedu.ru";816;817;37,541764;55,608081
1193;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 781";"111402, г. Москва, ул. Вешняковская, д.2А";"Восточный административный округ";"район Вешняки";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"375-67-84";"sch781.mskobr.ru/";"sch781@mail.ru";817;818;37,819473;55,736822
1194;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 782";"111398, Москва, ул. плющева, дом 13а";"Восточный административный округ";"район Перово";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"309-29-77";"schv782.mskobr.ru";"sch782@yandex.ru";818;819;37,762558;55,741521
1195;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 782";"111398, Москва, ул. плющева, дом 13а";"Восточный административный округ";"район Перово";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"309-29-77";"schv782.mskobr.ru";"sch782@yandex.ru";818;819;37,762567;55,741356
1196;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 783";"111396, г.Москва, Союзный проспект, 2";"Восточный административный округ";"район Новогиреево";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 302-01-16; (495) 302-44-56; (495) 301-00-35";"sch783.mskobr.ru";"sch783@yandex.ru";819;820;37,803433;55,750591
1197;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 787 имени А.Н.Савельева";"111396, г. Москва, ул. Алексея Дикого, дом 18А";"Восточный административный округ";"район Новогиреево";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 375-99-93; (495) 375-42-10; (495) 303-22-71; (495) 301-15-13; (495) 375-98-96";"schv787.mskobr.ru";"school787@mail.ru";820;821;37,810674;55,746502
1198;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 789";"117574, г. Москва, улица Голубинская, дом 5, корп.3";"Юго-Западный административный округ";"район Ясенево";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"421-47-88";"http://schuz789.mskobr.ru/";"sch789@mail.ru";821;822;37,513286;55,606932
1199;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 79";"121357 г.Москва, ул. Артамонова, д. 2";"Западный административный округ";"район Фили-Давыдково";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"445-47-35";"sch79.mskzapad.ru";"sch_79@bk.ru";822;823;37,460409;55,720097
1200;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 790";"117588, г. Москва, Новоясеневский проспект, дом 24, корпус 3";"Юго-Западный административный округ";"район Ясенево";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"427-68-01";"";"sch790@mail.ru";823;824;37,528697;55,603806
1201;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 791";"117342, г. Москва, ул. Бутлерова, д. 38а";"Юго-Западный административный округ";"район Коньково";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"334-80-21";"http://schuz791.mskobr.ru";"school791@yandex.ru";824;825;37,547132;55,641893
1202;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 793";"117342, г. Москва, ул. Бутлерова, дом 24-А";"Юго-Западный административный округ";"район Коньково";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"333-74-08";"";"school793@mosuzedu.ru";825;826;37,537139;55,648181
1203;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 794";"117593, г.Москва, Литовский бульвар, дом 17, корпус 4";"Юго-Западный административный округ";"район Ясенево";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"426-17-11";"";"sch794@ou.mosuzedu.ru";826;827;37,552761;55,606081
1204;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 795";"111396, г. Москва, ул. Фрязевская, д.7";"Восточный административный округ";"район Новогиреево";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"303-55-95";"schv795.mskobr.ru";"gou795@mail.ru";827;828;37,820916;55,746343
1205;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 796";"";"Восточный административный округ";"район Новогиреево";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"309-21-19";"schv796.mskobr.ru";"schcool_796@mail.ru";828;829;37,782105;55,743298
1206;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 796";"";"Восточный административный округ";"район Новогиреево";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"309-21-19";"schv796.mskobr.ru";"schcool_796@mail.ru";828;829;37,782152;55,742089
1207;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 797";"111558, г.Москва, Федеративный проспект, д.29а";"Восточный административный округ";"район Новогиреево";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"303-82-42";"sch797.mskobr.ru";"797s@mail.ru";829;830;37,822524;55,754889
1208;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 799";"111531, Москва,ул.Саянская, д.3А";"Восточный административный округ";"район Ивановское";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 300-70-50";"schg799.mskobr.ru";"sch799@yandex.ru";830;831;37,825452;55,768966
1209;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 806";"121351 г.Москва, ул. Полоцкая, д. 21";"Западный административный округ";"район Кунцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"417-92-20";"sch806.mskzapad.ru";"school_806@mail.ru";831;832;37,423309;55,732653
1210;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 806";"121351 г.Москва, ул. Полоцкая, д. 21";"Западный административный округ";"район Кунцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"417-92-20";"sch806.mskzapad.ru";"school_806@mail.ru";831;832;37,423474;55,732323
1211;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 807";"119526  г.Москва, пр-т Вернадского, д. 101, корпус 6";"Западный административный округ";"район Тропарёво-Никулино";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"433-33-11";"";"school807@mail.ru";832;833;37,490393;55,663481
1212;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 808";"121351 г.Москва, Ивана Франко, д. 28 корп. 3";"Западный административный округ";"район Кунцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"443-99-85";"sch808.mskzapad.ru";"sch808@yandex.ru";833;834;37,427231;55,729155
1213;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 809";"121596 г.Москва, Можайское шоссе, д. 50";"Западный административный округ";"Можайский район";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 446-18-04";"sch809.mskzapad.ru";"school809@yandex.ru";834;835;37,404934;55,717353
1214;"Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 81";"121552 г. Москва, ул. Оршанская, д. 10, корп. 2";"Западный административный округ";"район Кунцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 141-24-05";"sch81.mskzapad.ru";"sch81@inbox.ru";835;836;37,410482;55,742350
1215;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 811";"121353, г.Москва, ул.Беловежская, д.7";"Западный административный округ";"Можайский район";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 446-23-94";"sch811.mskzapad.ru";"school811@mail.ru";836;837;37,399562;55,711761
1216;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 815";"119501 г.Москва, ул.Веерная, д.5, корп. 2";"Западный административный округ";"район Очаково-Матвеевское";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 441-82-83";"sch815.mskzapad.ru";"school815@inbox.ru";837;838;37,475810;55,707911
1217;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 816";"119361 г.Москва, ул. Б.Очаковская, д.39, к.2,3";"Западный административный округ";"район Очаково-Матвеевское";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 430-51-10";"sch816.mskzapad.ru";"school816@mail.ru";838;839;37,448085;55,675340
1218;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 816";"119361 г.Москва, ул. Б.Очаковская, д.39, к.2,3";"Западный административный округ";"район Очаково-Матвеевское";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 430-51-10";"sch816.mskzapad.ru";"school816@mail.ru";838;839;37,448483;55,675799
1219;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 819";"125362, г. Москва, ул. Свободы, д.26";"Северо-Западный административный округ";"район Южное Тушино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"497-03-00";"sch819.mskobr.ru";"sch819@szouo.ru";839;840;37,456118;55,839551
1220;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 819";"125362, г. Москва, ул. Свободы, д.26";"Северо-Западный административный округ";"район Южное Тушино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"497-03-00";"sch819.mskobr.ru";"sch819@szouo.ru";839;840;37,461821;55,840595
1221;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 820";"125362, г. Москва, ул. Тушинская, д.7";"Северо-Западный административный округ";"район Покровское-Стрешнево";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"491-76-33";"sch820.mskobr.ru";"sch820@szouo.ru";840;841;37,449736;55,823044
1222;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 820";"125362, г. Москва, ул. Тушинская, д.7";"Северо-Западный административный округ";"район Покровское-Стрешнево";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"491-76-33";"sch820.mskobr.ru";"sch820@szouo.ru";840;841;37,449912;55,825983
1223;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 827";"125373, г. Москва, ул. Героев Панфиловцев, д. 35, кор. 2";"Северо-Западный административный округ";"район Северное Тушино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 496-55-29";"sch827.mskobr.ru";"sch827@szouo.ru";841;842;37,410016;55,851783
1224;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 827";"125373, г. Москва, ул. Героев Панфиловцев, д. 35, кор. 2";"Северо-Западный административный округ";"район Северное Тушино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 496-55-29";"sch827.mskobr.ru";"sch827@szouo.ru";841;842;37,413356;55,855038
1225;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 827";"125373, г. Москва, ул. Героев Панфиловцев, д. 35, кор. 2";"Северо-Западный административный округ";"район Северное Тушино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 496-55-29";"sch827.mskobr.ru";"sch827@szouo.ru";841;842;37,417866;55,855228
1226;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 830";"125362, г. Москва, ул. Большая Набережная, 23";"Северо-Западный административный округ";"район Покровское-Стрешнево";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 491-30-04; (495) 491-51-23; (495) 491-72-89; (495) 491-68-62";"sch830.mskobr.ru";"sch830@szouo.ru";842;843;37,453164;55,824885
1227;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 830";"125362, г. Москва, ул. Большая Набережная, 23";"Северо-Западный административный округ";"район Покровское-Стрешнево";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 491-30-04; (495) 491-51-23; (495) 491-72-89; (495) 491-68-62";"sch830.mskobr.ru";"sch830@szouo.ru";842;843;37,454693;55,827062
1228;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 830";"125362, г. Москва, ул. Большая Набережная, 23";"Северо-Западный административный округ";"район Покровское-Стрешнево";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 491-30-04; (495) 491-51-23; (495) 491-72-89; (495) 491-68-62";"sch830.mskobr.ru";"sch830@szouo.ru";842;843;37,455039;55,831072
1229;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 84";"109507, г. Москва, Ферганский проезд, д. 10, корпус 5";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"376-41-17";"schuv84.mskobr.ru";"info@rost84.ru";843;844;37,820108;55,697855
1230;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 840";"115516 г. Москва, Кавказский б-р, д. 37, к. 2";"Южный административный округ";"район Царицыно";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"325-54-81";"schu840.mskobr.ru/";"sch840@sinergi.ru";844;845;37,653435;55,626046
1231;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 841";"109518, город Москва, Волжский бульвар, дом 6, корпус 4";"Юго-Восточный административный округ";"район Текстильщики";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"177-56-77";"schuv841.mskobr.ru";"school_841_@mail.ru";845;846;37,735437;55,717322
1232;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 842";"124482, г.Москва, Зеленоград, корп. 142";"Зеленоградский административный округ";"район Матушкино";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"534-14-76";"dsez2096.mskobr.ru";"s842@zou.ru";846;847;37,204671;56,008142
1233;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 842";"124482, г.Москва, Зеленоград, корп. 142";"Зеленоградский административный округ";"район Матушкино";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"534-14-76";"dsez2096.mskobr.ru";"s842@zou.ru";846;847;37,210278;56,008516
1234;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 842";"124482, г.Москва, Зеленоград, корп. 142";"Зеленоградский административный округ";"район Матушкино";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"534-14-76";"dsez2096.mskobr.ru";"s842@zou.ru";846;847;37,210967;56,006382
1235;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 842";"124482, г.Москва, Зеленоград, корп. 142";"Зеленоградский административный округ";"район Матушкино";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"534-14-76";"dsez2096.mskobr.ru";"s842@zou.ru";846;847;37,211777;56,005962
1236;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 842";"124482, г.Москва, Зеленоград, корп. 142";"Зеленоградский административный округ";"район Матушкино";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"534-14-76";"dsez2096.mskobr.ru";"s842@zou.ru";846;847;37,212775;56,005329
1237;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 843";"119602 г.Москва, Мичуринский проспект,Олимпийская деревня, д.д. 23 и 23,стр. 1";"Западный административный округ";"район Тропарёво-Никулино";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 437-40-92";"sch843.mskzapad.ru";"school843@mail.ru";847;848;37,457237;55,670955
1238;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 843";"119602 г.Москва, Мичуринский проспект,Олимпийская деревня, д.д. 23 и 23,стр. 1";"Западный административный округ";"район Тропарёво-Никулино";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 437-40-92";"sch843.mskzapad.ru";"school843@mail.ru";847;848;37,458042;55,671079
1239;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 844";"119361 г. Москва, Очаковская Б. ул., д.18";"Западный административный округ";"район Очаково-Матвеевское";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"430-71-20";"sch844.mskzapad.ru";"school844@mail.ru";848;849;37,456995;55,683832
1240;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 846";"109388, г. Москва, ул. Полбина, д. 44";"Юго-Восточный административный округ";"район Печатники";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"354-28-07";"schuv846.mskobr.ru";"sch846@mail.ru";849;850;37,727064;55,680343
1241;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 847";"125412, г. Москва, Коровинское шоссе, дом 24-а";"Северный административный округ";"Дмитровский район";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 906-77-81";"schs847.mskobr.ru";"school-847@mail.ru";850;851;37,521849;55,882193
1242;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 848";"125183, г. Москва, ул. Академическая Б. улица, дом 77 А";"Северный административный округ";"район Коптево";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"482-59-01";"schs848.mskobr.ru";"school848@rambler.ru";851;852;37,553410;55,844677
1243;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 849";"127247, г. Москва, Бескудниковский бульвар, дом 50-а";"Северный административный округ";"Бескудниковский район";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"488-12-75";"schs849.mskobr.ru";"sc849@mail.ru";852;853;37,539786;55,875536
1244;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 851";"117587 Москва, ул. Кировоградская д.8Г";"Южный административный округ";"район Чертаново Северное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"312-95-02";"schu851.mskobr.ru";"sch851@sinergi.ru";853;854;37,606589;55,628015
1245;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 852";"124460. г. Москва, Зеленоград, корп.1115";"Зеленоградский административный округ";"район Силино";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 731-06-62";"dskz1778.mskobr.ru";"s852@zou.ru";854;855;37,185048;55,996015
1246;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 852";"124460. г. Москва, Зеленоград, корп.1115";"Зеленоградский административный округ";"район Силино";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 731-06-62";"dskz1778.mskobr.ru";"s852@zou.ru";854;855;37,186148;55,996960
