"OBJECTID";"name";"adress";"okrug";"rayon";"form_of_incorporation";"submission";"tip_uchrezhdeniya";"vid_uchrezhdeniya";"telephone";"web_site";"e_mail";"ID";"OBJECTID_1";"COMPLEX_ID";"NUMB";"name_1";"ID_1";"OBJECTID_12";"ID_12";"NAME_12";"TYPE";"NUMB_1";"OKRUG_1";"FOUNDATION_TYPE"
468;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 259";"127018, г. Москва, ул. Двинцев, д. 10";"Северо-Восточный административный округ";"район Марьина Роща";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 689-51-33; (495) 689-81-36; (495) 689-75-65";"sch259sv.mskobr.ru";"sch259@yandex.ru";547;152;311,00;259,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №259";547,00;67;311,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №237 имени В.Ф. Орлова";"школа";237,00;"Северо-Восточный административный округ";"присоединение"
469;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 26";"119296, г.Москва, Университетский проспект, дом 3";"Юго-Западный административный округ";"Гагаринский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"930-50-70";"http://schuz26.mskobr.ru";"mosschool26@gmail.com";548;17;562,00;26,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №26";548,00;639;562,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2086";"школа";2086,00;"Юго-Западный административный округ";"слияние"
470;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 261";"121108 г.Москва, ул. Кастанаевская, д. 29, корпус 1";"Западный административный округ";"район Фили-Давыдково";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"144-59-42";"";"sch261@sch261.edu.ru";549;153;749,00;261,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №261";549,00;73;749,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №261";"школа";261,00;"Западный административный округ";"присоединение"
471;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 262";"121108 Москва, ул. Кастанаевская, д. 45";"Западный административный округ";"район Фили-Давыдково";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 144-54-49; (499) 144-48-74; (499) 146-55-36; (499) 146-64-14";"http//:sch262.zao.mskobr.ru";"school262admin@mail.ru";550;154;725,00;262,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №262";550,00;74;725,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №262";"школа";262,00;"Западный административный округ";"присоединение"
472;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 267";"127566 г. Москва, ул. Бестужевых, д.23";"Северо-Восточный административный округ";"район Отрадное";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"404-15-09";"sch267sv.mskobr.ru";"Sch2672007@yandex.ru";552;158;308,00;267,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №267";552,00;171;308,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №606";"школа";606,00;"Северо-Восточный административный округ";"слияние"
473;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 273";"105077, г.Москва, Измайловский бульвар, дом 62";"Восточный административный округ";"район Восточное Измайлово";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 965-87-22; (495) 965-87-23; (495) 965-87-41; (499) 464-52-01; (499) 464-16-36; (499) 464-09-08";"schv273.mskobr.ru";"shcola-273@ya.ru";554;161;658,00;273,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №273";554,00;75;658,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №273";"школа";273,00;"Восточный административный округ";"присоединение"
474;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 276";"127224, г. Москва, проезд Шокальского, дом 63 А";"Северо-Восточный административный округ";"район Северное Медведково";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 479-35-89; (499) 479-35-72";"sch276.svao.mskobr.ru";"school276@yandex.ru";556;163;270,00;276,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №276";556,00;76;270,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №276";"школа";276,00;"Северо-Восточный административный округ";"присоединение"
475;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 277";"129301, г. Москва, ул. Космонавтов, д.5";"Северо-Восточный административный округ";"Алексеевский район";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"683-82-71";"sch277sv.mskobr.ru/";"sch277@yandex.ru";557;164;265,00;277,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №277";557,00;77;265,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №277";"школа";277,00;"Северо-Восточный административный округ";"присоединение"
476;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 279 имени А.Т. Твардовского";"129366, г. Москва, Проспект Мира, дом 128.";"Северо-Восточный административный округ";"Алексеевский район";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"683-01-47";"sch279sv.mskobr.ru";"school279@mail.ru";559;166;273,00;279,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №279 имени А.Т. Твардовского";559,00;78;273,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №279 имени А.Т. Твардовского";"школа";279,00;"Северо-Восточный административный округ";"присоединение"
477;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 281";"129344 город Москва, ул. Радужная, дом 7";"Северо-Восточный административный округ";"Бабушкинский район";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 471-42-33";"sch281sv.mskobr.ru/";"sch-281@yandex.ru";560;167;248,00;281,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №281";560,00;79;248,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №281";"школа";281,00;"Северо-Восточный административный округ";"присоединение"
478;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 283";"127224, г.Москва, ул.Широкая, д.21-А";"Северо-Восточный административный округ";"район Северное Медведково";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"477-11-40";"sch283sv.mskobr.ru";"sch283@yandex.ru";562;169;262,00;283,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №283";562,00;80;262,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №283";"школа";283,00;"Северо-Восточный административный округ";"присоединение"
479;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 285 имени В.А.Молодцова";"127081 г. Москва, Ясный проезд, д. 24, корп. 3";"Северо-Восточный административный округ";"район Южное Медведково";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 477-04-66";"sch285sv.mskobr.ru";"school285@yandex.ru";563;170;271,00;285,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №285 имени В.А.Молодцова";563,00;81;271,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №285 имени В.А. Молодцова";"школа";285,00;"Северо-Восточный административный округ";"присоединение"
480;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 289";"127081, г. Москва, Ясный проезд, д. 10а";"Северо-Восточный административный округ";"район Южное Медведково";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 477-04-88";"sch289sv.mskobr.ru";"School289@yandex.ru";564;171;264,00;289,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №289";564,00;82;264,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №289";"школа";289,00;"Северо-Восточный административный округ";"присоединение"
481;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 290";"""127282, г. Москва, ул. Грекова, д. 11 """"б""""""";"Северо-Восточный административный округ";"район Северное Медведково";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 479-85-72";"sch290sv.mskobr.ru";"sch290@yandex.ru";565;172;251,00;290,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №290";565,00;211;251,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №756";"школа";756,00;"Северо-Восточный административный округ";"присоединение"
482;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 296";"127276 г. Москва, ул. Б. Марфинская, д. 7";"Северо-Восточный административный округ";"район Марфино";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"618-40-79";"sch296.svao.mskobr.ru";"school296m@mail.ru";566;174;300,00;296,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №296";566,00;83;300,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №296";"школа";296,00;"Северо-Восточный административный округ";"присоединение"
483;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 297";"129323, г. Москва, 1-й Ботанический проезд, дом 2";"Северо-Восточный административный округ";"район Свиблово";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 180-41-85; (499) 180-84-85; (495) 656-66-12; (499) 180-82-04; (499) 180-11-04; (495) 656-65-86";"http://sch297sv.mskobr.ru";"sch297@yandex.ru";567;175;293,00;297,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №297";567,00;519;293,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1565 «Свиблово»";"гимназия";1565,00;"Северо-Восточный административный округ";"присоединение"
484;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 298";"129281 г. Москва, ул. Изумрудная, д. 13, корп. 3";"Северо-Восточный административный округ";"Лосиноостровский район";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 184-57-48; (499) 184-59-03";"sch298sv.mskobr.ru";"www.sch298@yandex.ru";568;176;309,00;298,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №298";568,00;596;309,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского и немецкого языков №1955";"школа";1955,00;"Северо-Восточный административный округ";"присоединение"
485;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 299";"129327, г. Москва, ул. Ленская, д. 24";"Северо-Восточный административный округ";"Бабушкинский район";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"470-50-38";"sch299sv.mskobr.ru/";"school299@mail.ru";569;177;259,00;299,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №299";569,00;513;259,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1558 имени Росалии де Кастро";"гимназия";1558,00;"Северо-Восточный административный округ";"присоединение"
486;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 3";"117420, г. Москва, улица Новочеремушкинская, дом 62, корпус 2";"Юго-Западный административный округ";"район Черёмушки";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"331-08-22";"";"sch3@mosuzedu.ru";570;2;558,00;3,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №3";570,00;594;558,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1948 «Лингвист-М»";"школа";1948,00;"Юго-Западный административный округ";"слияние"
487;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 301";"127549, г. Москва, Алтуфьевское ш., д. 60 ""Б""";"Северо-Восточный административный округ";"Алтуфьевский район";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"902-46-77";"sch301sv.mskobr.ru";"school301@lianet.ru";571;178;246,00;301,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №301";571,00;423;246,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1370 ";"школа";1370,00;"Северо-Восточный административный округ";"присоединение"
488;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 302";"127410, г. Москва, Инженерная улица, дом 16";"Северо-Восточный административный округ";"Алтуфьевский район";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 900-90-93; (499) 900-90-30; (499) 900-90-02";"sch302sv.mskobr.ru";"scool302@mail.ru";572;179;243,00;302,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №302";572,00;84;243,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №305";"школа";305,00;"Северо-Восточный административный округ";"присоединение"
489;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 305";"""127410, г.Москва, Путевой проезд, дом 10 """"А""""""";"Северо-Восточный административный округ";"Алтуфьевский район";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 901-03-20; (499) 901-72-11; (499) 901-72-00; (499) 901-00-18; (499) 901-72-09";"sch305sv.mskobr.ru";"shc305@yandex.ru";574;181;243,00;305,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №305";574,00;84;243,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №305";"школа";305,00;"Северо-Восточный административный округ";"присоединение"
490;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 307";"127221, г. Москва, проезд Шокальского, д. 11, корп. 2";"Северо-Восточный административный округ";"район Южное Медведково";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"477-11-33";"sch307.svao.mskobr.ru";"shkola307@mail.ru";575;183;268,00;307,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №307";575,00;521;268,00;"Государственное бюджетное образовательное учреждение города Москвы лицей №1568 имени Пабло Неруды";"лицей";1568,00;"Северо-Восточный административный округ";"слияние"
491;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 308";"129626 город Москва, улица Новоалексеевская, дом 6";"Северо-Восточный административный округ";"Алексеевский район";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"687-54-12";"sch308sv.mskobr.ru";"info@school308.ru";576;184;295,00;308,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №308";576,00;86;295,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №308";"школа";308,00;"Северо-Восточный административный округ";"присоединение"
492;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 311";"129281, г. Москва, Олонецкий проезд, дом 6";"Северо-Восточный административный округ";"Бабушкинский район";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 470-44-90; (495) 470-44-52";"dskv1312.mskobr.ru";"311school@mail.ru";578;186;253,00;311,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №311";578,00;87;253,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №311";"школа";311,00;"Северо-Восточный административный округ";"присоединение"
493;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 316";"Алтайская 26 А";"Восточный административный округ";"район Гольяново";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"467-63-40";"schv316.mskobr.ru";"sns316@yandex.ru";579;188;700,00;316,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №316";579,00;319;700,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1078";"школа";1078,00;"Восточный административный округ";"присоединение"
494;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 319";"105122, г. Москва, ул. Амурская, дом 6";"Восточный административный округ";"район Гольяново";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"966-87-10";"sch319.mskobr.ru";"school319@mail.ru.";581;190;653,00;319,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №319";581,00;88;653,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №319 ";"школа";319,00;"Восточный административный округ";"присоединение"
495;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 323";"119415 г.Москва, проспект Вернадского, д. 57";"Западный административный округ";"район Проспект Вернадского";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 431-19-82";"sch323.mskzapad.ru";"school323@inbox.ru";582;191;726,00;323,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №323";582,00;89;726,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №323";"школа";323,00;"Западный административный округ";"присоединение"
496;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 327";"109457, г. Москва, ул. Шумилова, д. 9";"Юго-Восточный административный округ";"район Кузьминки";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 175-44-13";"schuv327.mskobr.ru";"gousosh327@yandex.ru";584;193;477,00;327,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №327";584,00;356;477,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1208 имени Героя Советского Союза М.С. Шумилова";"школа";1208,00;"Юго-Восточный административный округ";"слияние"
497;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 329";"109456, г. Москва, 4-й Вешняковский проезд, д, 1, стр. 2";"Юго-Восточный административный округ";"Рязанский район";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"171-02-03";"schuv329.mskobr.ru";"sch329@yandex.ru";585;194;473,00;329,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №329";585,00;90;473,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №329";"школа";329,00;"Юго-Восточный административный округ";"присоединение"
498;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 330";"105064 г. Москва, Б. Казенный пер., д.9";"Центральный административный округ";"Басманный район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"917-78-21";"schc330.mskobr.ru";"330sch@couo.ru";586;195;41,00;330,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №330";586,00;648;41,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2095";"школа";2095,00;"Центральный административный округ";"слияние"
499;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 332";"127543, г. Москва, ул. Корнейчука, д. 52 А";"Северо-Восточный административный округ";"район Бибирево";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 207-23-00";"sch332sv.mskobr.ru";"Sch332@yandex.ru";587;196;239,00;332,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №332";587,00;91;239,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №332";"школа";332,00;"Северо-Восточный административный округ";"присоединение"
500;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 333 имени Героя Советского Союза В.С.Гризодубовой";"109462, г. Москва, Волгоградский проспект, д. 74, корп. 4";"Юго-Восточный административный округ";"район Кузьминки";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"172-47-46";"schuv333.mskobr.ru";"shc333@mail.ru";588;197;443,00;333,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №333 имени Героя Советского Союза В.С.Гризодубовой";588,00;182;443,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №641 имени Сергея Есенина ";"школа";641,00;"Юго-Восточный административный округ";"присоединение"
501;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 335";"109386, г. Москва, Спортивный проезд, дом 3-А";"Юго-Восточный административный округ";"район Люблино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 350-08-56; (495) 350-07-38";"schuv335.mskobr.ru";"sch-335@yandex.ru";589;198;424,00;335,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №335";589,00;93;424,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №335";"школа";335,00;"Юго-Восточный административный округ";"присоединение"
502;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 336";"109117, г. Москва, Волгоградский проспект, дом 103, корпус 6";"Юго-Восточный административный округ";"район Кузьминки";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 177-26-88; (499) 173-97-22";"schuv336.mskobr.ru";"sch336@mail.ru";590;199;493,00;336,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №336";590,00;233;493,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №825 ";"школа";825,00;"Юго-Восточный административный округ";"слияние"
